date,year,serial,total_death_missing,cause_of_death,collapsed_cause,collapsed_region,number_children,lon,lat,random
2017-01-19,2017,2017.MMP00073,1,Mixed or unknown,Mixed or unknown,North America,,-98.2058397,27.1058788,0.7321792176412196
2017-01-19,2017,2017.MMP00074,1,Violence,Violence,Eastern Africa,,36.6521817,15.0979697,0.41121857750045265
2017-01-19,2017,2017.MMP00080,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Northern Africa,,30.9519604,15.6291005,0.35935194294403017
2017-01-20,2017,2017.MMP00082,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Eastern Africa,,42.7773712,9.3521044,0.7640507101791127
2017-01-20,2017,2017.MMP00086,1,Violence,Violence,Northern Africa,,33.8359077,17.7159395,0.9714545099561958
2017-01-20,2017,2017.MMP00087,1,Violence,Violence,Northern Africa,,33.8037246,18.0501277,0.8327680908377495
2017-01-20,2017,2017.MMP00088,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Northern Africa,,30.9519604,15.6291005,0.6429445189885561
2017-01-21,2017,2017.MMP00090,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,,1.8339367,50.9518803,0.03921475571987432
2017-01-21,2017,2017.MMP00092,1,Drowning,Drowning,Mediterranean,,13.11777,32.9115192,0.8326474404748228
2017-01-21,2017,2017.MMP00093,1,Drowning,Drowning,North America,,-99.58366425,27.60315357,0.6077147752999736
2017-01-22,2017,2017.MMP00095,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,32.7935513,24.0642537,0.898620105556464
2017-01-23,2017,2017.MMP00096,1,Mixed or unknown,Mixed or unknown,Northern Africa,,31.3129289,21.7274483,0.09314993127543514
2017-01-23,2017,2017.MMP00097,1,Drowning,Drowning,Central America,,-98.3662434,26.0525676,0.46044415424064034
2017-01-23,2017,2017.MMP00098,1,Mixed or unknown,Mixed or unknown,Central America,,-115.46015872,32.66688991,0.6287707998129197
2017-01-24,2017,2017.MMP00102,1,Drowning,Drowning,Central America,,-97.5849845,25.8433787,0.10775015840691515
2017-01-24,2017,2017.MMP00103,1,Drowning,Drowning,North America,,-98.47763265,26.22018546,0.12780744408049372
2017-01-25,2017,2017.MMP00104,1,Drowning,Drowning,North America,,-97.93420931,26.06549106,0.13181973742862207
2017-01-26,2017,2017.MMP00106,1,Drowning,Drowning,North America,,-98.51294518,26.2275051,0.798426480970845
2017-01-26,2017,2017.MMP00107,1,Drowning,Drowning,North America,,-98.51294518,26.2275051,0.21800527835589323
2017-01-27,2017,2017.MMP00108,1,Mixed or unknown,Mixed or unknown,North America,,-111.395217,32.3088,0.20819172957075982
2017-01-27,2017,﻿2017.MMP00110,1,Mixed or unknown,Mixed or unknown,North America,,-98.02606837,27.02898844,0.17566713324666172
2017-01-28,2017,2017.MMP00114,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Eastern Africa,,38.2380839,17.6991099,0.08302679130404256
2017-01-29,2017,2017.MMP00115,1,Mixed or unknown,Mixed or unknown,North America,,-100.514183,28.6919315,0.15510990184291318
2017-11-19,2017,2017.MMP001159,1,Drowning,Drowning,North America,,-115.46553581,32.69422005,0.13305863896889525
2017-11-21,2017,2017.MMP001161,1,Mixed or unknown,Mixed or unknown,Northern Africa,1,22.023754,23.906767,0.27664438728628715
2017-11-21,2017,2017.MMP001162,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,21.270055,25.150259,0.7918185489325844
2017-11-21,2017,2017.MMP001163,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,1,19.13310557,45.15232183,0.07263465178923867
2017-11-22,2017,2017.MMP001164,1,Mixed or unknown,Mixed or unknown,Europe,,26.1359431,41.2443761,0.241904723344605
2017-11-22,2017,2017.MMP001165,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,1,8.006251,16.998511,0.21905172960857588
2017-11-22,2017,2017.MMP001166,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,1,12.6392316,-8.0028892,0.7561787089405143
