date,serial,total_death_missing,cause_of_death,collapsed_region,number_children,lon,lat,random
2021-10-14,2021.MMP00882,25,Drowning,Mediterranean,1,36.19749249,-6.551422936,0.47618585515573986
2021-12-25,2021.MMP0304,25,Drowning,Mediterranean,1,37.09629177,25.13723325,0.4112908613163173
2022-04-26,2022.MMP0397,25,Drowning,Northern Africa,7,26.59929091,-16.024947,0.08168562758453124
2022-08-13,2022.MMP1011,25,Drowning,Mediterranean,,33.0350156,12.225295,0.7525120085421781
2022-10-18,2022.MMP1209,25,Mixed or unknown,Southern Africa,,-11.8437,33.7068,0.34817537816379174
2014-08-24,2014.MMP00181,24,Drowning,Mediterranean,,34.5671,14.0625,0.5462801556279142
2014-12-07,2014.MMP00249,24,Drowning,Western Asia,,13.49112,43.15973,0.06129433207097712
2015-08-23,2015.MMP00326,24,Mixed or unknown,South-eastern Asia,,6.44491,100.205,0.6729961706322358
2016-01-21,2016.MMP00067,24,Drowning,Mediterranean,5,38.7042006,26.5939167,0.7247246045284739
2017-07-18,2017.MMP00649,24,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa,,17.68731754,8.05245297,0.4780015388370822
2018-12-20,2018.MMP01606,24,Drowning,Mediterranean,10,36.38585817,-2.625576919,0.07324944874948724
2019-01-28,2019.MMP00118,24,Drowning,South America,10,8.641338758,-77.33068918,0.8630293298919087
2019-03-07,2019.MMP00272,24,Vehicle accident / death linked to hazardous transport,Central America,3,16.879242771,-92.916367625,0.7758220806423248
2019-10-02,2019.MMP01386,24,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,1,19.549663888,5.687579761,0.5990622949651889
2020-09-14,2020.MMP00682,24,Drowning,Mediterranean,,33.12107642,12.5188164719,0.5152523407272978
2021-06-25,2021.MMP00452,24,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,21.28937362,0.999485158,0.4721699528180556
2021-11-24,2021.MMP0189,24,Drowning,Europe,2,51.035818,1.91888,0.513069356749748
2021-12-01,2021.MMP0334,24,Drowning,Northern Africa,,33.01479981,12.54897854,0.61791531209891
2022-03-13,2022.MMP00161,24,Drowning,Mediterranean,,35.01820398,11.491153,0.43129791408598206
2014-08-28,2014.MMP00186,23,Drowning,Caribbean,,18.3459,-67.8186,0.2093207326200488
2014-12-05,2014.MMP00248,23,Drowning,Mediterranean,,36.3992,-2.38403,0.08017214894871305
2015-10-22,2015.MMP00550,23,Drowning,Mediterranean,5,39.410744,26.586906,0.5406581989922346
2015-12-20,2015.MMP00765,23,Sickness / lack of access to adequate healthcare,Northern Africa,,27.032288,14.456116,0.9289385637504701
2017-04-24,2017.MMP00325,23,Drowning,Mediterranean,2,39.3660851,26.1667672,0.6344072744285496
2017-09-19,2017.MMP00897,23,Violence,Southern Asia,,29.76834943,52.69630806,0.9827766975744221
2018-11-05,2018.MMP01440,23,Drowning,Mediterranean,,36.14620838,-6.010210827,0.3297910064383598
2019-04-24,2019.MMP00519,23,Drowning,Caribbean,,10.57866372,-61.791136728,0.8095457488495656
2019-08-29,2019.MMP01219,23,Drowning,Northern Africa,,24.781866727,-16.246628179,0.6658705223428982
2019-11-26,2019.MMP01697,23,Drowning,Mediterranean,,35.2928695,-2.9252639,0.9791326882440607
2020-05-01,2020.MMP00300,23,Violence,Southern Asia,,34.81162102,61.0677338469,0.29584249333117696
2020-10-11,2020.MMP00806,23,Drowning,Mediterranean,1,34.63141507,10.8588965531,0.9261395181955074
2020-12-17,2020.MMP01021,23,Drowning,Mediterranean,,36.77749098,5.1281248011,0.23515620360073308
2021-02-13,2021.MMP00112,23,Drowning,Mediterranean,,35.57736051,12.59360665,0.4689967099641521
2021-09-11,2021.MMP00862,23,Drowning,Caribbean,,18.40094006,-68.98329662,0.5473974169028133
2021-10-17,2021.MMP00887,23,Drowning,Mediterranean,2,35.19796725,11.26021325,0.2928228627891838
2021-12-06,2021.MMP0262,23,Violence,Western Africa,,13.23329457,6.728968406,0.07656945884145228
2022-06-24,2022.MMP0768,23,Mixed or unknown,Mediterranean,,35.26706319,-2.952187,0.03066419473947879
2015-06-20,2015.MMP00193,22,Drowning,Mediterranean,,35.352515,-3.976368,0.394729917486778
2015-09-15,2015.MMP00394,22,Drowning,Mediterranean,4,34.8657,12.6049,0.6759036866129826
2015-09-29,2015.MMP00444,22,Drowning,Eastern Africa,2,-11.6455,43.3333,0.7719927077743716
2016-07-20,2016.MMP00695,22,Vehicle accident / death linked to hazardous transport,Mediterranean,,33.4165331,16.2301914,0.22412397488631597
2016-11-05,2016.MMP007621,22,Mixed or unknown,Mediterranean,,34.2533716,14.4988153,0.8399613703010465
2017-03-05,2017.MMP00228,22,Violence,Northern Africa,,32.7959606,12.4022547,0.7063081655463375
2018-10-14,2018.MMP01330,22,Vehicle accident / death linked to hazardous transport,Western Asia,,38.27705488,27.18258423,0.1753223943254938
2018-11-18,2018.MMP01488,22,Drowning,Northern Africa,,29.82267777,-10.21048677,0.3268042786589871
2019-01-19,2019.MMP00064,22,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,22.115985,5.405024,0.2945862708251128
2019-05-15,2019.MMP00646,22,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Asia,,38.701231409,44.242474772,0.9944654050788371
2019-06-19,2019.MMP00831,22,Drowning,Mediterranean,,35.856487687,-3.086911218,0.7560838913522911
2020-03-27,2020.MMP00246,22,Drowning,Northern Africa,,23.68830553,-16.2762855332,0.46901782958480775
2021-05-09,2021.MMP00325,22,Drowning,Mediterranean,1,32.90649949,13.70553396,0.9434246968604787
2021-06-28,2021.MMP00462,22,Drowning,Mediterranean,,34.87695,11.15669,0.013235874081577226
2021-08-14,2021.MMP00674,22,Drowning,Southern Asia,8,22.36728953,91.56243922,0.2363286718492641
2021-12-25,2021.MMP0323,22,Drowning,South-eastern Asia,,33.01479981,12.54897854,0.9927339899306724
2021-07-14,2021.MMP0908,22,Vehicle accident / death linked to hazardous transport,Northern Africa,1,36.07023884,4.761893153,0.2487166030226866
2021-02-07,2021.MMP0939,22,Mixed or unknown,Western Africa,,18.59291,10.578095,0.944041622365019
2022-07-01,2022.MMP0784,22,Mixed or unknown,Mediterranean,3,33.21403451,12.215903,0.7770459558570983
2022-10-09,2022.MMP1206,22,Drowning,Mediterranean,,32.7940903,12.747263,0.18748635504553546
2022-10-12,2022.MMP1212,22,Drowning,Northern Africa,,28.74565827,-11.2988,0.16683102553659035
2015-01-22,2015.MMP00025,21,Drowning,Mediterranean,,35.272947,-2.924594,0.6964323000730415
2016-01-26,2016.MMP00091,21,Drowning,Mediterranean,3,37.376094,27.264729,0.058321689851562164
2016-03-20,2016.MMP00294,21,Mixed or unknown,Northern Africa,,23.2488413,19.7242161,0.7649367147416297
2016-07-12,2016.MMP00655,21,Drowning,Mediterranean,,33.1575346,12.9419824,0.23612396118330103
2016-08-02,2016.MMP007310,21,Drowning,Mediterranean,,32.8146949,12.8809105,0.7717739398187811
2017-11-23,2017.MMP01172,21,Mixed or unknown,Mediterranean,,34.06017917,13.05950236,0.27158113193261446
2018-03-03,2018.MMP00247,21,Drowning,Mediterranean,,33.44274446,12.57012788,0.40003416920330337
2020-12-05,2020.MMP00995,21,Drowning,Caribbean,,18.88588497,-68.5944487396,0.12355233608049665
2021-07-04,2021.MMP00562,21,Drowning,Mediterranean,,34.71990251,10.79592473,0.33915967292897053
